"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"12.06.2019 07:45 - 12.06.2019 08:00","59912","63845"
"12.06.2019 08:00 - 12.06.2019 08:15","60670","64768"
"12.06.2019 08:15 - 12.06.2019 08:30","61307","65287"
"12.06.2019 08:30 - 12.06.2019 08:45","61803","65811"
"12.06.2019 08:45 - 12.06.2019 09:00","62131","66163"
"12.06.2019 09:00 - 12.06.2019 09:15","62333","66238"
"12.06.2019 09:15 - 12.06.2019 09:30","62828","66447"
"12.06.2019 09:30 - 12.06.2019 09:45","63336","67050"
"12.06.2019 09:45 - 12.06.2019 10:00","63801","67840"
"12.06.2019 10:00 - 12.06.2019 10:15","64143","68299"
"12.06.2019 10:15 - 12.06.2019 10:30","64391","68385"
"12.06.2019 10:30 - 12.06.2019 10:45","64758","68827"
"12.06.2019 10:45 - 12.06.2019 11:00","65252","69234"
"12.06.2019 11:00 - 12.06.2019 11:15","65329","69510"
"12.06.2019 11:15 - 12.06.2019 11:30","65698","70070"
"12.06.2019 11:30 - 12.06.2019 11:45","66007","70523"
"12.06.2019 11:45 - 12.06.2019 12:00","65597","70388"
"12.06.2019 12:00 - 12.06.2019 12:15","65389","69666"
"12.06.2019 12:15 - 12.06.2019 12:30","65369","69508"
"12.06.2019 12:30 - 12.06.2019 12:45","65320","69222"
"12.06.2019 12:45 - 12.06.2019 13:00","65231","69424"
"12.06.2019 13:00 - 12.06.2019 13:15","64872","68848"
"12.06.2019 13:15 - 12.06.2019 13:30","64881","68673"
"12.06.2019 13:30 - 12.06.2019 13:45","64591","67825"
"12.06.2019 13:45 - 12.06.2019 14:00","63988","67025"
"12.06.2019 14:00 - 12.06.2019 14:15","63969","66349"
"12.06.2019 14:15 - 12.06.2019 14:30","63776","66782"
"12.06.2019 14:30 - 12.06.2019 14:45","63506","67179"
"12.06.2019 14:45 - 12.06.2019 15:00","63778","66989"
"12.06.2019 15:00 - 12.06.2019 15:15","64004","66051"
"12.06.2019 15:15 - 12.06.2019 15:30","63138","65311"
"12.06.2019 15:30 - 12.06.2019 15:45","62838","64769"
"12.06.2019 15:45 - 12.06.2019 16:00","62217","64379"
"12.06.2019 16:00 - 12.06.2019 16:15","62146","64175"
"12.06.2019 16:15 - 12.06.2019 16:30","61984","63616"
"12.06.2019 16:30 - 12.06.2019 16:45","61848","63256"
"12.06.2019 16:45 - 12.06.2019 17:00","61141","63181"
"12.06.2019 17:00 - 12.06.2019 17:15","60993","63062"
"12.06.2019 17:15 - 12.06.2019 17:30","60838","63178"
"12.06.2019 17:30 - 12.06.2019 17:45","60930","63477"
"12.06.2019 17:45 - 12.06.2019 18:00","60762","63498"
"12.06.2019 18:00 - 12.06.2019 18:15","60328","63355"
"12.06.2019 18:15 - 12.06.2019 18:30","60038","62804"
"12.06.2019 18:30 - 12.06.2019 18:45","60114","62980"
"12.06.2019 18:45 - 12.06.2019 19:00","60124","62722"
"12.06.2019 19:00 - 12.06.2019 19:15","59925","62399"
"12.06.2019 19:15 - 12.06.2019 19:30","59494","61797"
"12.06.2019 19:30 - 12.06.2019 19:45","59191","61455"
"12.06.2019 19:45 - 12.06.2019 20:00","58783","61318"
"12.06.2019 20:00 - 12.06.2019 20:15","58148","60516"
"12.06.2019 20:15 - 12.06.2019 20:30","57274","59764"
"12.06.2019 20:30 - 12.06.2019 20:45","56350","59347"
"12.06.2019 20:45 - 12.06.2019 21:00","55820","58410"
"12.06.2019 21:00 - 12.06.2019 21:15","54940","57825"
"12.06.2019 21:15 - 12.06.2019 21:30","54470","57102"
"12.06.2019 21:30 - 12.06.2019 21:45","53944","56759"
"12.06.2019 21:45 - 12.06.2019 22:00","53476","56784"
"12.06.2019 22:00 - 12.06.2019 22:15","53376","56182"
"12.06.2019 22:15 - 12.06.2019 22:30","52539","55245"
"12.06.2019 22:30 - 12.06.2019 22:45","51687","54397"
"12.06.2019 22:45 - 12.06.2019 23:00","50542","53416"
"12.06.2019 23:00 - 12.06.2019 23:15","49364","52226"
"12.06.2019 23:15 - 12.06.2019 23:30","48406","51363"
"12.06.2019 23:30 - 12.06.2019 23:45","47313","50456"
"12.06.2019 23:45 - 13.06.2019 00:00","46706","49636"
"13.06.2019 00:00 - 13.06.2019 00:15","45869","48067"
"13.06.2019 00:15 - 13.06.2019 00:30","45398","47214"
"13.06.2019 00:30 - 13.06.2019 00:45","44867","46654"
"13.06.2019 00:45 - 13.06.2019 01:00","44544","46365"
"13.06.2019 01:00 - 13.06.2019 01:15","44141","45328"
"13.06.2019 01:15 - 13.06.2019 01:30","43778","45242"
"13.06.2019 01:30 - 13.06.2019 01:45","43364","44757"
"13.06.2019 01:45 - 13.06.2019 02:00","43045","44572"
"13.06.2019 02:00 - 13.06.2019 02:15","42744","44038"
"13.06.2019 02:15 - 13.06.2019 02:30","42388","43930"
"13.06.2019 02:30 - 13.06.2019 02:45","42353","43728"
"13.06.2019 02:45 - 13.06.2019 03:00","42473","43819"
"13.06.2019 03:00 - 13.06.2019 03:15","42499","44221"
"13.06.2019 03:15 - 13.06.2019 03:30","42588","44181"
"13.06.2019 03:30 - 13.06.2019 03:45","42684","44242"
"13.06.2019 03:45 - 13.06.2019 04:00","42749","44430"
"13.06.2019 04:00 - 13.06.2019 04:15","43020","45148"
"13.06.2019 04:15 - 13.06.2019 04:30","43367","45627"
"13.06.2019 04:30 - 13.06.2019 04:45","43763","45552"
"13.06.2019 04:45 - 13.06.2019 05:00","44108","45790"
"13.06.2019 05:00 - 13.06.2019 05:15","45212","46927"
"13.06.2019 05:15 - 13.06.2019 05:30","45539","47448"
"13.06.2019 05:30 - 13.06.2019 05:45","46401","48229"
"13.06.2019 05:45 - 13.06.2019 06:00","47633","49723"
"13.06.2019 06:00 - 13.06.2019 06:15","50121","52779"
"13.06.2019 06:15 - 13.06.2019 06:30","51940","54715"
"13.06.2019 06:30 - 13.06.2019 06:45","53632","56397"
"13.06.2019 06:45 - 13.06.2019 07:00","55048","57862"
"13.06.2019 07:00 - 13.06.2019 07:15","56592","59964"
"13.06.2019 07:15 - 13.06.2019 07:30","57816","61077"
"13.06.2019 07:30 - 13.06.2019 07:45","59077","61777"
"13.06.2019 07:45 - 13.06.2019 08:00","59715","62497"
"13.06.2019 08:00 - 13.06.2019 08:15","60595","63444"
"13.06.2019 08:15 - 13.06.2019 08:30","61163","63939"
"13.06.2019 08:30 - 13.06.2019 08:45","61541","64411"
"13.06.2019 08:45 - 13.06.2019 09:00","61662","64754"
"13.06.2019 09:00 - 13.06.2019 09:15","61735","64768"
"13.06.2019 09:15 - 13.06.2019 09:30","61993","65030"
"13.06.2019 09:30 - 13.06.2019 09:45","62680","65530"
"13.06.2019 09:45 - 13.06.2019 10:00","63145","65793"
"13.06.2019 10:00 - 13.06.2019 10:15","63459","65708"
"13.06.2019 10:15 - 13.06.2019 10:30","63763","65958"
"13.06.2019 10:30 - 13.06.2019 10:45","64056","66382"
"13.06.2019 10:45 - 13.06.2019 11:00","64390","67127"
"13.06.2019 11:00 - 13.06.2019 11:15","64718","67447"
"13.06.2019 11:15 - 13.06.2019 11:30","64921","67843"
"13.06.2019 11:30 - 13.06.2019 11:45","65165","68177"
"13.06.2019 11:45 - 13.06.2019 12:00","64946","68347"
"13.06.2019 12:00 - 13.06.2019 12:15","64694","67961"
"13.06.2019 12:15 - 13.06.2019 12:30","64437","67483"
"13.06.2019 12:30 - 13.06.2019 12:45","64434","67641"
"13.06.2019 12:45 - 13.06.2019 13:00","64500","67481"
"13.06.2019 13:00 - 13.06.2019 13:15","64153","67306"
"13.06.2019 13:15 - 13.06.2019 13:30","64145","67168"
"13.06.2019 13:30 - 13.06.2019 13:45","63663","66801"
"13.06.2019 13:45 - 13.06.2019 14:00","63135","66050"
"13.06.2019 14:00 - 13.06.2019 14:15","63065","66219"
"13.06.2019 14:15 - 13.06.2019 14:30","62800","66068"
"13.06.2019 14:30 - 13.06.2019 14:45","62635","65634"
"13.06.2019 14:45 - 13.06.2019 15:00","62942","65347"
"13.06.2019 15:00 - 13.06.2019 15:15","63015","65001"
"13.06.2019 15:15 - 13.06.2019 15:30","62239","64534"
"13.06.2019 15:30 - 13.06.2019 15:45","61792","64049"
"13.06.2019 15:45 - 13.06.2019 16:00","61542","63654"
"13.06.2019 16:00 - 13.06.2019 16:15","61111","63354"
"13.06.2019 16:15 - 13.06.2019 16:30","60973","63056"
"13.06.2019 16:30 - 13.06.2019 16:45","60831","62447"
"13.06.2019 16:45 - 13.06.2019 17:00","60323","62113"
"13.06.2019 17:00 - 13.06.2019 17:15","60152","62149"
"13.06.2019 17:15 - 13.06.2019 17:30","60121","62318"
"13.06.2019 17:30 - 13.06.2019 17:45","60217","62315"
"13.06.2019 17:45 - 13.06.2019 18:00","60060","62387"
"13.06.2019 18:00 - 13.06.2019 18:15","59511","61919"
"13.06.2019 18:15 - 13.06.2019 18:30","59293","61723"
"13.06.2019 18:30 - 13.06.2019 18:45","59221","61638"
"13.06.2019 18:45 - 13.06.2019 19:00","59141","61688"
"13.06.2019 19:00 - 13.06.2019 19:15","59091","61349"
"13.06.2019 19:15 - 13.06.2019 19:30","58723","60870"
"13.06.2019 19:30 - 13.06.2019 19:45","58191","60638"
"13.06.2019 19:45 - 13.06.2019 20:00","57931","60444"
"13.06.2019 20:00 - 13.06.2019 20:15","57076","59796"
"13.06.2019 20:15 - 13.06.2019 20:30","56508","59010"
"13.06.2019 20:30 - 13.06.2019 20:45","55518","58080"
"13.06.2019 20:45 - 13.06.2019 21:00","54910","57507"
"13.06.2019 21:00 - 13.06.2019 21:15","54233","57282"
"13.06.2019 21:15 - 13.06.2019 21:30","53923","56274"
"13.06.2019 21:30 - 13.06.2019 21:45","53582","55731"
"13.06.2019 21:45 - 13.06.2019 22:00","53366","56079"
"13.06.2019 22:00 - 13.06.2019 22:15","53312","55449"
"13.06.2019 22:15 - 13.06.2019 22:30","52542","55025"
"13.06.2019 22:30 - 13.06.2019 22:45","51417","54260"
"13.06.2019 22:45 - 13.06.2019 23:00","50370","53338"
"13.06.2019 23:00 - 13.06.2019 23:15","49089","52348"
"13.06.2019 23:15 - 13.06.2019 23:30","48187","51259"
"13.06.2019 23:30 - 13.06.2019 23:45","47189","50142"
"13.06.2019 23:45 - 14.06.2019 00:00","46486","49624"
"14.06.2019 00:00 - 14.06.2019 00:15","45731","48552"
"14.06.2019 00:15 - 14.06.2019 00:30","45303","47956"
"14.06.2019 00:30 - 14.06.2019 00:45","44754","47350"
"14.06.2019 00:45 - 14.06.2019 01:00","44395","46828"
"14.06.2019 01:00 - 14.06.2019 01:15","43680","46373"
"14.06.2019 01:15 - 14.06.2019 01:30","43282","46129"
"14.06.2019 01:30 - 14.06.2019 01:45","43083","45869"
"14.06.2019 01:45 - 14.06.2019 02:00","42689","45783"
"14.06.2019 02:00 - 14.06.2019 02:15","42326","45299"
"14.06.2019 02:15 - 14.06.2019 02:30","42191","44938"
"14.06.2019 02:30 - 14.06.2019 02:45","42135","44847"
"14.06.2019 02:45 - 14.06.2019 03:00","42168","44363"
"14.06.2019 03:00 - 14.06.2019 03:15","42266","44781"
"14.06.2019 03:15 - 14.06.2019 03:30","42217","44623"
"14.06.2019 03:30 - 14.06.2019 03:45","42287","44456"
"14.06.2019 03:45 - 14.06.2019 04:00","42256","44550"
"14.06.2019 04:00 - 14.06.2019 04:15","42761","44869"
"14.06.2019 04:15 - 14.06.2019 04:30","43043","44840"
"14.06.2019 04:30 - 14.06.2019 04:45","43423","45372"
"14.06.2019 04:45 - 14.06.2019 05:00","43782","45381"
"14.06.2019 05:00 - 14.06.2019 05:15","45051","46364"
"14.06.2019 05:15 - 14.06.2019 05:30","45305","46887"
"14.06.2019 05:30 - 14.06.2019 05:45","46203","47751"
"14.06.2019 05:45 - 14.06.2019 06:00","47487","49377"
"14.06.2019 06:00 - 14.06.2019 06:15","49923","52250"
"14.06.2019 06:15 - 14.06.2019 06:30","51731","54235"
"14.06.2019 06:30 - 14.06.2019 06:45","53378","55878"
"14.06.2019 06:45 - 14.06.2019 07:00","54519","57178"
"14.06.2019 07:00 - 14.06.2019 07:15","56119","58992"
"14.06.2019 07:15 - 14.06.2019 07:30","57332","59974"
"14.06.2019 07:30 - 14.06.2019 07:45","58659","60972"
"14.06.2019 07:45 - 14.06.2019 08:00","59668","61845"
"14.06.2019 08:00 - 14.06.2019 08:15","60360","63261"
"14.06.2019 08:15 - 14.06.2019 08:30","60916","63740"
"14.06.2019 08:30 - 14.06.2019 08:45","61263","64289"
"14.06.2019 08:45 - 14.06.2019 09:00","61526","64960"
"14.06.2019 09:00 - 14.06.2019 09:15","61609","64886"
"14.06.2019 09:15 - 14.06.2019 09:30","61988","64951"
"14.06.2019 09:30 - 14.06.2019 09:45","62295","65383"
"14.06.2019 09:45 - 14.06.2019 10:00","62755","65841"
"14.06.2019 10:00 - 14.06.2019 10:15","62950","66030"
"14.06.2019 10:15 - 14.06.2019 10:30","63315","66438"
"14.06.2019 10:30 - 14.06.2019 10:45","63589","67026"
"14.06.2019 10:45 - 14.06.2019 11:00","63998","67401"
"14.06.2019 11:00 - 14.06.2019 11:15","64067","67465"
"14.06.2019 11:15 - 14.06.2019 11:30","64340","67413"
"14.06.2019 11:30 - 14.06.2019 11:45","64717","67505"
"14.06.2019 11:45 - 14.06.2019 12:00","64196","67393"
"14.06.2019 12:00 - 14.06.2019 12:15","64365","66953"
"14.06.2019 12:15 - 14.06.2019 12:30","64171","66655"
"14.06.2019 12:30 - 14.06.2019 12:45","63724","66436"
"14.06.2019 12:45 - 14.06.2019 13:00","63744","65842"
"14.06.2019 13:00 - 14.06.2019 13:15","63326","65667"
"14.06.2019 13:15 - 14.06.2019 13:30","63133","65243"
"14.06.2019 13:30 - 14.06.2019 13:45","62619","64827"
"14.06.2019 13:45 - 14.06.2019 14:00","62082","64228"
"14.06.2019 14:00 - 14.06.2019 14:15","61903","63966"
"14.06.2019 14:15 - 14.06.2019 14:30","61503","64290"
"14.06.2019 14:30 - 14.06.2019 14:45","61302","63970"
"14.06.2019 14:45 - 14.06.2019 15:00","61499","63886"
"14.06.2019 15:00 - 14.06.2019 15:15","61766","63891"
"14.06.2019 15:15 - 14.06.2019 15:30","60918","63504"
"14.06.2019 15:30 - 14.06.2019 15:45","60671","63089"
"14.06.2019 15:45 - 14.06.2019 16:00","60324","62837"
"14.06.2019 16:00 - 14.06.2019 16:15","60356","62284"
"14.06.2019 16:15 - 14.06.2019 16:30","60550","62000"
"14.06.2019 16:30 - 14.06.2019 16:45","60513","61780"
"14.06.2019 16:45 - 14.06.2019 17:00","59966","61900"
"14.06.2019 17:00 - 14.06.2019 17:15","59966","62031"
"14.06.2019 17:15 - 14.06.2019 17:30","59878","61520"
"14.06.2019 17:30 - 14.06.2019 17:45","59735","61700"
"14.06.2019 17:45 - 14.06.2019 18:00","59619","61785"
"14.06.2019 18:00 - 14.06.2019 18:15","59156","61401"
"14.06.2019 18:15 - 14.06.2019 18:30","58956","60919"
"14.06.2019 18:30 - 14.06.2019 18:45","58981","61373"
"14.06.2019 18:45 - 14.06.2019 19:00","58898","61337"
"14.06.2019 19:00 - 14.06.2019 19:15","58635","60991"
"14.06.2019 19:15 - 14.06.2019 19:30","58298","60606"
"14.06.2019 19:30 - 14.06.2019 19:45","57813","60306"
"14.06.2019 19:45 - 14.06.2019 20:00","56771","59855"
"14.06.2019 20:00 - 14.06.2019 20:15","56042","59093"
"14.06.2019 20:15 - 14.06.2019 20:30","55507","58086"
"14.06.2019 20:30 - 14.06.2019 20:45","54694","57369"
"14.06.2019 20:45 - 14.06.2019 21:00","54035","56644"
"14.06.2019 21:00 - 14.06.2019 21:15","53422","56036"
"14.06.2019 21:15 - 14.06.2019 21:30","52836","55431"
"14.06.2019 21:30 - 14.06.2019 21:45","52324","55354"
"14.06.2019 21:45 - 14.06.2019 22:00","52041","54795"
"14.06.2019 22:00 - 14.06.2019 22:15","51959","54478"
"14.06.2019 22:15 - 14.06.2019 22:30","51099","54089"
"14.06.2019 22:30 - 14.06.2019 22:45","50133","53202"
"14.06.2019 22:45 - 14.06.2019 23:00","49060","52352"
"14.06.2019 23:00 - 14.06.2019 23:15","47799","51133"
"14.06.2019 23:15 - 14.06.2019 23:30","46919","50276"
"14.06.2019 23:30 - 14.06.2019 23:45","46114","49445"
"14.06.2019 23:45 - 15.06.2019 00:00","45301","48723"
"15.06.2019 00:00 - 15.06.2019 00:15","44008","47489"
"15.06.2019 00:15 - 15.06.2019 00:30","43353","46817"
"15.06.2019 00:30 - 15.06.2019 00:45","42632","46133"
"15.06.2019 00:45 - 15.06.2019 01:00","42263","45528"
"15.06.2019 01:00 - 15.06.2019 01:15","41597","44954"
"15.06.2019 01:15 - 15.06.2019 01:30","41196","44306"
"15.06.2019 01:30 - 15.06.2019 01:45","40915","43783"
"15.06.2019 01:45 - 15.06.2019 02:00","40481","43494"
"15.06.2019 02:00 - 15.06.2019 02:15","40169","42958"
"15.06.2019 02:15 - 15.06.2019 02:30","39937","42611"
"15.06.2019 02:30 - 15.06.2019 02:45","39699","42367"
"15.06.2019 02:45 - 15.06.2019 03:00","39583","42307"
"15.06.2019 03:00 - 15.06.2019 03:15","39584","42309"
"15.06.2019 03:15 - 15.06.2019 03:30","39459","42196"
"15.06.2019 03:30 - 15.06.2019 03:45","39348","42027"
"15.06.2019 03:45 - 15.06.2019 04:00","39252","42143"
"15.06.2019 04:00 - 15.06.2019 04:15","39441","41844"
"15.06.2019 04:15 - 15.06.2019 04:30","39449","41617"
"15.06.2019 04:30 - 15.06.2019 04:45","39501","41456"
"15.06.2019 04:45 - 15.06.2019 05:00","39492","41259"
"15.06.2019 05:00 - 15.06.2019 05:15","39992","40934"
"15.06.2019 05:15 - 15.06.2019 05:30","39807","40583"
"15.06.2019 05:30 - 15.06.2019 05:45","39908","40582"
"15.06.2019 05:45 - 15.06.2019 06:00","40222","41039"
"15.06.2019 06:00 - 15.06.2019 06:15","40926","42407"
"15.06.2019 06:15 - 15.06.2019 06:30","41531","42970"
"15.06.2019 06:30 - 15.06.2019 06:45","42364","43819"
"15.06.2019 06:45 - 15.06.2019 07:00","42989","45103"
"15.06.2019 07:00 - 15.06.2019 07:15","43949","46542"
"15.06.2019 07:15 - 15.06.2019 07:30","44652","47271"
"15.06.2019 07:30 - 15.06.2019 07:45","45584","48186"
"15.06.2019 07:45 - 15.06.2019 08:00","46591","48994"
"15.06.2019 08:00 - 15.06.2019 08:15","47647","49633"
"15.06.2019 08:15 - 15.06.2019 08:30","48451","50331"
"15.06.2019 08:30 - 15.06.2019 08:45","49376","51163"
"15.06.2019 08:45 - 15.06.2019 09:00","50169","52173"
"15.06.2019 09:00 - 15.06.2019 09:15","50902","52887"
"15.06.2019 09:15 - 15.06.2019 09:30","51317","53834"
"15.06.2019 09:30 - 15.06.2019 09:45","52019","54494"
"15.06.2019 09:45 - 15.06.2019 10:00","52380","55467"
"15.06.2019 10:00 - 15.06.2019 10:15","52848","56125"
"15.06.2019 10:15 - 15.06.2019 10:30","53143","56824"
"15.06.2019 10:30 - 15.06.2019 10:45","53596","57099"
"15.06.2019 10:45 - 15.06.2019 11:00","54099","57260"
"15.06.2019 11:00 - 15.06.2019 11:15","54462","57047"
"15.06.2019 11:15 - 15.06.2019 11:30","54917","57261"
"15.06.2019 11:30 - 15.06.2019 11:45","55209","57401"
"15.06.2019 11:45 - 15.06.2019 12:00","54665","57194"
"15.06.2019 12:00 - 15.06.2019 12:15","54535","56390"
"15.06.2019 12:15 - 15.06.2019 12:30","54287","55870"
"15.06.2019 12:30 - 15.06.2019 12:45","53729","55753"
"15.06.2019 12:45 - 15.06.2019 13:00","53400","55115"
"15.06.2019 13:00 - 15.06.2019 13:15","52622","54260"
"15.06.2019 13:15 - 15.06.2019 13:30","52686","53739"
"15.06.2019 13:30 - 15.06.2019 13:45","52294","53058"
"15.06.2019 13:45 - 15.06.2019 14:00","51517","52727"
"15.06.2019 14:00 - 15.06.2019 14:15","51122","52447"
"15.06.2019 14:15 - 15.06.2019 14:30","50663","51803"
"15.06.2019 14:30 - 15.06.2019 14:45","50505","51331"
"15.06.2019 14:45 - 15.06.2019 15:00","50787","50709"
"15.06.2019 15:00 - 15.06.2019 15:15","50892","50849"
"15.06.2019 15:15 - 15.06.2019 15:30","49979","50603"
"15.06.2019 15:30 - 15.06.2019 15:45","49918","51154"
"15.06.2019 15:45 - 15.06.2019 16:00","49678","51408"
"15.06.2019 16:00 - 15.06.2019 16:15","49802","51506"
"15.06.2019 16:15 - 15.06.2019 16:30","50125","51509"
"15.06.2019 16:30 - 15.06.2019 16:45","50277","51115"
"15.06.2019 16:45 - 15.06.2019 17:00","49653","51458"
"15.06.2019 17:00 - 15.06.2019 17:15","50135","52076"
"15.06.2019 17:15 - 15.06.2019 17:30","50218","51932"
"15.06.2019 17:30 - 15.06.2019 17:45","50437","51926"
"15.06.2019 17:45 - 15.06.2019 18:00","50310","51826"
"15.06.2019 18:00 - 15.06.2019 18:15","50433","51657"
"15.06.2019 18:15 - 15.06.2019 18:30","50049","51575"
"15.06.2019 18:30 - 15.06.2019 18:45","49989","51434"
"15.06.2019 18:45 - 15.06.2019 19:00","49914","51434"
"15.06.2019 19:00 - 15.06.2019 19:15","49566","51865"
"15.06.2019 19:15 - 15.06.2019 19:30","49294","51206"
"15.06.2019 19:30 - 15.06.2019 19:45","48923","50786"
"15.06.2019 19:45 - 15.06.2019 20:00","48112","50214"
"15.06.2019 20:00 - 15.06.2019 20:15","48069","49644"
"15.06.2019 20:15 - 15.06.2019 20:30","47617","48730"
"15.06.2019 20:30 - 15.06.2019 20:45","46592","48144"
"15.06.2019 20:45 - 15.06.2019 21:00","46229","47440"
"15.06.2019 21:00 - 15.06.2019 21:15","45400","47168"
"15.06.2019 21:15 - 15.06.2019 21:30","45233","46651"
"15.06.2019 21:30 - 15.06.2019 21:45","45406","46534"
"15.06.2019 21:45 - 15.06.2019 22:00","45468","46647"
"15.06.2019 22:00 - 15.06.2019 22:15","45728","46788"
"15.06.2019 22:15 - 15.06.2019 22:30","45323","46356"
"15.06.2019 22:30 - 15.06.2019 22:45","44774","45851"
"15.06.2019 22:45 - 15.06.2019 23:00","43818","45281"
"15.06.2019 23:00 - 15.06.2019 23:15","42526","44005"
"15.06.2019 23:15 - 15.06.2019 23:30","41686","43014"
"15.06.2019 23:30 - 15.06.2019 23:45","40977","42582"
"15.06.2019 23:45 - 16.06.2019 00:00","40360","42079"
"16.06.2019 00:00 - 16.06.2019 00:15","39924","40737"
"16.06.2019 00:15 - 16.06.2019 00:30","39372","40130"
"16.06.2019 00:30 - 16.06.2019 00:45","38733","39747"
"16.06.2019 00:45 - 16.06.2019 01:00","38380","39363"
"16.06.2019 01:00 - 16.06.2019 01:15","37683","38467"
"16.06.2019 01:15 - 16.06.2019 01:30","37291","38204"
"16.06.2019 01:30 - 16.06.2019 01:45","36875","38054"
"16.06.2019 01:45 - 16.06.2019 02:00","36730","37881"
"16.06.2019 02:00 - 16.06.2019 02:15","36415","37759"
"16.06.2019 02:15 - 16.06.2019 02:30","36330","37541"
"16.06.2019 02:30 - 16.06.2019 02:45","35946","37406"
"16.06.2019 02:45 - 16.06.2019 03:00","35803","37395"
"16.06.2019 03:00 - 16.06.2019 03:15","35823","37435"
"16.06.2019 03:15 - 16.06.2019 03:30","35740","37369"
"16.06.2019 03:30 - 16.06.2019 03:45","35545","36977"
"16.06.2019 03:45 - 16.06.2019 04:00","35414","37001"
"16.06.2019 04:00 - 16.06.2019 04:15","35630","37261"
"16.06.2019 04:15 - 16.06.2019 04:30","35546","37465"
"16.06.2019 04:30 - 16.06.2019 04:45","35491","37409"
"16.06.2019 04:45 - 16.06.2019 05:00","35493","37325"
"16.06.2019 05:00 - 16.06.2019 05:15","35606","37368"
"16.06.2019 05:15 - 16.06.2019 05:30","35252","37385"
"16.06.2019 05:30 - 16.06.2019 05:45","35370","37339"
"16.06.2019 05:45 - 16.06.2019 06:00","35306","37506"
"16.06.2019 06:00 - 16.06.2019 06:15","35602","37843"
"16.06.2019 06:15 - 16.06.2019 06:30","35793","37929"
"16.06.2019 06:30 - 16.06.2019 06:45","36414","38199"
"16.06.2019 06:45 - 16.06.2019 07:00","36793","38862"
"16.06.2019 07:00 - 16.06.2019 07:15","37205","39654"
"16.06.2019 07:15 - 16.06.2019 07:30","37957","40083"
"16.06.2019 07:30 - 16.06.2019 07:45","39329","40850"
"16.06.2019 07:45 - 16.06.2019 08:00","40532","41697"
"16.06.2019 08:00 - 16.06.2019 08:15","41196","42622"
"16.06.2019 08:15 - 16.06.2019 08:30","41785","43400"
"16.06.2019 08:30 - 16.06.2019 08:45","43047","44035"
"16.06.2019 08:45 - 16.06.2019 09:00","43479","44503"
"16.06.2019 09:00 - 16.06.2019 09:15","44551","45345"
"16.06.2019 09:15 - 16.06.2019 09:30","45554","45853"
"16.06.2019 09:30 - 16.06.2019 09:45","46113","46210"
"16.06.2019 09:45 - 16.06.2019 10:00","46558","46801"
"16.06.2019 10:00 - 16.06.2019 10:15","47015","47175"
"16.06.2019 10:15 - 16.06.2019 10:30","47883","47484"
"16.06.2019 10:30 - 16.06.2019 10:45","48188","48304"
"16.06.2019 10:45 - 16.06.2019 11:00","48312","49048"
"16.06.2019 11:00 - 16.06.2019 11:15","49123","49764"
"16.06.2019 11:15 - 16.06.2019 11:30","49979","50508"
"16.06.2019 11:30 - 16.06.2019 11:45","50302","50872"
"16.06.2019 11:45 - 16.06.2019 12:00","50081","50791"
"16.06.2019 12:00 - 16.06.2019 12:15","50143","50994"
"16.06.2019 12:15 - 16.06.2019 12:30","50160","50849"
"16.06.2019 12:30 - 16.06.2019 12:45","49592","50224"
"16.06.2019 12:45 - 16.06.2019 13:00","49713","49541"
"16.06.2019 13:00 - 16.06.2019 13:15","48823","49301"
"16.06.2019 13:15 - 16.06.2019 13:30","49009","48878"
"16.06.2019 13:30 - 16.06.2019 13:45","48463","48760"
"16.06.2019 13:45 - 16.06.2019 14:00","47988","48264"
"16.06.2019 14:00 - 16.06.2019 14:15","47772","48098"
"16.06.2019 14:15 - 16.06.2019 14:30","47380","47738"
"16.06.2019 14:30 - 16.06.2019 14:45","47092","47374"
"16.06.2019 14:45 - 16.06.2019 15:00","47237","46859"
"16.06.2019 15:00 - 16.06.2019 15:15","47683","47293"
"16.06.2019 15:15 - 16.06.2019 15:30","46688","47026"
"16.06.2019 15:30 - 16.06.2019 15:45","46512","47076"
"16.06.2019 15:45 - 16.06.2019 16:00","46025","46690"
"16.06.2019 16:00 - 16.06.2019 16:15","45985","46782"
"16.06.2019 16:15 - 16.06.2019 16:30","46038","46558"
"16.06.2019 16:30 - 16.06.2019 16:45","46731","46337"
"16.06.2019 16:45 - 16.06.2019 17:00","45902","46653"
"16.06.2019 17:00 - 16.06.2019 17:15","46420","47411"
"16.06.2019 17:15 - 16.06.2019 17:30","46497","47196"
"16.06.2019 17:30 - 16.06.2019 17:45","47026","47085"
"16.06.2019 17:45 - 16.06.2019 18:00","47170","47553"
"16.06.2019 18:00 - 16.06.2019 18:15","47489","48334"
"16.06.2019 18:15 - 16.06.2019 18:30","47744","48447"
"16.06.2019 18:30 - 16.06.2019 18:45","47741","48409"
"16.06.2019 18:45 - 16.06.2019 19:00","47769","48760"
"16.06.2019 19:00 - 16.06.2019 19:15","47823","48950"
"16.06.2019 19:15 - 16.06.2019 19:30","47635","48383"
"16.06.2019 19:30 - 16.06.2019 19:45","47401","48362"
"16.06.2019 19:45 - 16.06.2019 20:00","46970","48317"
"16.06.2019 20:00 - 16.06.2019 20:15","47068","48393"
"16.06.2019 20:15 - 16.06.2019 20:30","47006","48005"
